Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
MMTC-0013;MANIPULADOR TELESCOPICO;FARESIN;17.40;FR041740E5606;LJSH-70;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MMTC-0015;MANIPULADOR TELESCOPICO;FARESIN;17.40;FR041740E5625;LJSH-71;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MMTC-0016;MANIPULADOR TELESCOPICO;ALO LIFT BY FARESIN;1740;FR04005945;;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2020;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
MTHP-0001;MARTILLO HIDRAULICO;CHICAGO PNEUMATIC;RX-6;BES005772;;MARTILLOS HIDRAULICOS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MTHP-0002;MARTILLO HIDRAULICO;EPIROC;EC 155T CL;DEQ1910001;;MARTILLOS HIDRAULICOS;EQUIPOS MENORES;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MTSD-0001;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME420120E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MTSD-0002;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME430005E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MTSD-0004;MOTOSOLDADORA;MILLER;BIG BLUE 400 X;ME420122E;;MOTOSOLDADORAS;EQUIPOS MENORES;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0004;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300138795;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0005;PLATAFORMA TRABAJO ALTURA;GENIE;S-125;S12510-2755;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2010;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
